Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
08PY001335,7/29/2008 20:15,1,Chromium Total,97508,0.825,UG/L,0.005,,U
08PY001410,8/19/2008 17:10,1,Nickel Total,97518,3.63,UG/L,0.02,,U
08PY001412,8/22/2008 14:58,1,Beryllium Total,97503,0.019,UG/L,0.001,,U
15PY005279,7/15/2014 10:20,1,Calcium  extractable/unfiltered,1143,29800,UG/L,0.1,,U
15PY005678,3/30/2015 9:50,1,Colour True,2021,17.5,REL UNIT,2.5,,U
15PY005692,4/20/2015 16:45,1,Sulphate Dissolved,16309,11600,UG/L,0.1,,U
15PY005692,4/20/2015 16:45,1,Calcium  extractable/unfiltered,1143,78500,UG/L,0.1,,U
15PY005891,2/24/2015 14:55,1,Specific Conductance,2041,359,USIE/CM,2,,U
15PY005903,6/23/2015 14:35,1,Turbidity,2074,20.9,NTU,0.05,,U
15PY005942,7/20/2015 10:05,1,Specific Conductance,2041,184,USIE/CM,2,,U
15PY005942,7/20/2015 10:05,1,Bromide Dissolved,101535,20,UG/L,0.02,L,U
15PY005891,2/24/2015 14:55,1,Zinc Total,107939,1.6,UG/L,0.2,,U
15PY005692,4/20/2015 16:45,1,Antimony Total,107929,0.085,UG/L,0.001,,U
15PY005692,4/20/2015 16:45,1,Cobalt Total,107913,1.07,UG/L,0.002,,U
15PY005692,4/20/2015 16:45,1,Lithium Total,107920,4.16,UG/L,0.01,,U
15PY005903,6/23/2015 14:35,1,Beryllium Total,107909,0.036,UG/L,0.001,,U
15PY005903,6/23/2015 14:35,1,Iron Total,107917,1470,UG/L,0.5,,U
15PY005903,6/23/2015 14:35,1,Lanthanum Total,107919,0.335,UG/L,0.001,,U
15PY006094,9/19/2015 9:00,1,pH,1075,7.99,PH,0.01,,U
15PY005942,7/20/2015 10:05,1,Chromium Total,107914,0.26,UG/L,0.01,,U
