Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
15PY005754,4/19/2015 11:30,1,Copper Total,107916,0.34,UG/L,0.02,,U
15PY005762,5/24/2015 11:52,1,Zinc Total,107939,30.6,UG/L,0.2,,U
15PY006100,10/18/2015 11:35,1,Calcium Dissolved,1180,65800,UG/L,0.1,,U
15PY005949,8/17/2015 10:10,1,Lead Total,107925,0.139,UG/L,0.005,,U
15PY006079,9/20/2015 11:35,1,Arsenic Total,107906,0.34,UG/L,0.01,,U
15PY006079,9/20/2015 11:35,1,Cadmium Total,107911,0.08,UG/L,0.001,,U
15PY006079,9/20/2015 11:35,1,Lithium Total,107920,5.67,UG/L,0.01,,U
15PY005936,7/19/2015 12:20,1,Rubidium Total,107928,0.76,UG/L,0.001,,U
16PY005017,11/22/2015 11:40,1,Lead Total,107925,0.301,UG/L,0.005,,U
16PY005028,12/13/2015 12:38,1,Arsenic Total,107906,0.26,UG/L,0.01,,U
20PY000213,11/17/2019 9:45,1,Cobalt Total,107913,1.21,UG/L,0.002,,U
20PY000331,2/23/2020 10:00,1,Selenium Total,107930,0.7,UG/L,0.01,,U
20PY000331,2/23/2020 10:00,1,Silicon Dissolved,1175,5100,UG/L,0.05,,U
21PY000127,3/15/2020 10:38,1,Chromium Total,107914,0.08,UG/L,0.02,,U
21PY000127,3/15/2020 10:38,1,Tin Total,107931,0.006,UG/L,0.005,,U
21PY000486,2/14/2021 11:30,1,Cerium Dissolved,107948,0.003,UG/L,0.001,,U
21PY000486,2/14/2021 11:30,1,Manganese Total,107921,358,UG/L,0.02,,U
21PY000486,2/14/2021 11:30,1,Silicon Dissolved,1175,6400,UG/L,0.05,,U
21PY000502,3/7/2021 10:50,1,Molybdenum Total,107922,0.447,UG/L,0.006,,U
21PY000502,3/7/2021 10:50,1,Platinum Total,107927,0.002,UG/L,0.002,L,U
21PY000523,4/11/2021 11:05,1,Platinum Total,107927,0.002,UG/L,0.002,L,U
21PY000595,11/16/2020 11:40,1,Gallium Total,107918,0.008,UG/L,0.001,,U
21PY000595,11/16/2020 11:40,1,Scandium Total,6049,0.01,UG/L,0.01,,U
